nct_id,condition,facility_name,city,sampling_method,overall_status
NCT04357457,Covid 19|Hypoxemic Respiratory Failure|,Hospital Pitié-Salpêtrière,Paris,NA,Recruiting
NCT04568005,Lymphedema|,Fatih Sultan Mehmet Training and Research Hospital,Istanbul,Non-Probability Sample,Completed
NCT04351347,COVID|,Tanta University,Tanta,NA,Recruiting
NCT04389450,COVID|ARDS|,University of California Irvine,Irvine,NA,Recruiting
NCT04298814,COVID-19|Endotracheal Intubation|,Tongji Hospital,Wuhan,Non-Probability Sample,Withdrawn
NCT04396067,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04408235,"COVID|Pneumonia, Viral|Coagulation Disorder|",Azienda Ospedaliero-Universitaria,Modena,NA,Not yet recruiting
NCT04370938,"Perceived Organizational Support, Anxiety, Burnout|",UPMC,Pittsburgh,NA,Recruiting
NCT04384250,Genetic Basis of COVID-19 Infection|,Mansoura University,Mansoura,Non-Probability Sample,Recruiting
NCT04431180,Blood Donation|,Guangzhou Blood Center,Guangzhou,NA,Enrolling by invitation
NCT04358614,COVID|Pneumonia|,Fabrizio Cantini,Prato,NA,Completed
NCT04500600,COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|,M D Anderson Cancer Center,Houston,Non-Probability Sample,Recruiting
NCT04451694,Covid-19|,Quilliot,VANDOEUVRE LES Nancy,Non-Probability Sample,Recruiting
NCT04433013,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04359225,Telehealth|,Canniesburn Regional Plastic Surgery and Burns Unit,Glasgow,NA,Not yet recruiting
NCT04381364,"Covid-19|Pneumonia, Viral|Sars-CoV2|",Danderyd Hospital,Danderyd,NA,Recruiting
NCT04573868,Mortality|,Salvador Morales-Conde,Sevilla,Probability Sample,Recruiting
NCT04338958,Covid-19|,Universitätsmedizin Göttingen - Klinik für Hämatologie und Onkologie,Göttingen,NA,Recruiting
NCT04363502,Covid19|,Johns Hopkins Hospital,Baltimore,NA,Recruiting
NCT04335019,2019-nCoV (COVID-19)|Interstitial Pneumonia|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04501783,COVID-19|,"Medical center LLC ""Neuroprofi""",Korolev,NA,"Active, not recruiting"
NCT04312009,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|,University of Florida Health Gainesville,Gainesville,NA,Recruiting
NCT04331106,Anxiety Related to the COVID-19 Pandemic|,Charité-Universitätsmedizin Berlin - Department of Psychiatry and Psychotherapy,Berlin,Probability Sample,Recruiting
NCT04475211,Sars-CoV2|,NA,NA,Probability Sample,Not yet recruiting
NCT04429828,Psychological Wellbeing|,NA,NA,NA,Not yet recruiting
NCT04469491,COVID-19|INTERFERON|NEBULIZATION|,CHU Amiens,Amiens,NA,Not yet recruiting
NCT04438863,COVID 19|,NA,NA,Probability Sample,Not yet recruiting
NCT04380961,Severe or Critical Confirmed Coronavirus Disease (COVID)-19|,UCSF Fresno,Fresno,NA,Recruiting
NCT04442191,COVID-19|,University of Illinois at Chicago,Chicago,NA,Recruiting
NCT04429854,COVID-19|,ZNA,Antwerpen,NA,Recruiting
NCT04353245,COVID19|Corona Virus Infection|Myocardial Injury|Pneumonia|,Instituto do Coração - Hospital das Clínicas - Faculdade de Medicina da Universidade de São Paulo,São Paulo,Probability Sample,Not yet recruiting
NCT04396197,COVID-19|Critical Illness|Ards|ICU Acquired Weakness|,UHB NHS Foundation Trust,Birmingham,Non-Probability Sample,Completed
NCT04497246,Covid19|,CHU Brugmann,Brussels,Non-Probability Sample,Recruiting
NCT04344041,Coronavirus|,CHU Angers,Angers,NA,Recruiting
NCT04509986,Surgery|Covid19|Post-Op Complication|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04279782,Coronavirus|,The Third Affiliated Hospital of Sun Yat-sen University,Guangzhou,Non-Probability Sample,Recruiting
NCT04328467,COVID-19|Corona Virus Infection|ARDS|Acute Respiratory Distress Syndrome|,"Nationwide Enrollment via Internet, please email: covid19@umn.edu",Minneapolis,NA,"Active, not recruiting"
NCT04535856,Covid19|Corona Virus Infection|SAR|,Site 550: University of Hassanudin/ Dr. Wahidin Sudirohusodo Hospital,Makassar,NA,Not yet recruiting
NCT04399109,COVID|,The Sutherland Hospital,Caringbah,NA,Recruiting
NCT04348435,COVID-19|,Hope Biosciences Stem Cell Research Foundation,Sugar Land,NA,Enrolling by invitation
NCT04362319,"Burnout, Professional|Depression|Medical Errors|Covid-19|",Sungai Buloh Hospital,Sungai Buloh,Non-Probability Sample,Completed
NCT04558320,Coronavirus Infection|,University of Rochester Medical Center,Rochester,Non-Probability Sample,Recruiting
NCT04515147,Coronavirus|Covid19|SARS-CoV-2|Severe Acute Respiratory Syndrome|,NA,NA,NA,Not yet recruiting
NCT04403100,COVID-19|Coronavirus Infection|Virus Disease|Acute Respiratory Infection|SARS-CoV Infection|,CARDRESEARCH - Cardiologia Assistencial e de Pesquisa,Belo Horizonte,NA,Recruiting
NCT04359212,"COVID-19 Disease|Thromboembolism, Venous|",Giuseppe Camporese,Padova,Non-Probability Sample,Completed
NCT04392453,Stroke|,NA,NA,NA,Not yet recruiting
NCT04422613,"Pneumonia, Viral|",University Hospital of Toulouse,Toulouse,NA,Recruiting
NCT04445311,COVID|,Waheed Shouman,Zagazig,NA,Recruiting
NCT04570501,Covid19|,Stanford University,Stanford,NA,Not yet recruiting
NCT04372979,COVID-19|,HIA Percy,Clamart,NA,Not yet recruiting
NCT04292730,COVID-19|,"Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue",Anaheim,NA,Completed
NCT04341207,Cancer & COVID 19|,Gustave Roussy,Villejuif,NA,Recruiting
NCT04444310,COVID-19|,AssiutU,Assiut,Non-Probability Sample,"Active, not recruiting"
NCT04419025,COVID|Sars-CoV2|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere|Oxidative Stress|,CHA Cambridge Hospital,Cambridge,NA,Recruiting
NCT04340050,Coronavirus|,University of Chicago Medicine,Chicago,NA,"Active, not recruiting"
NCT04383678,COVID-19|Extracorporeal Membrane Oxygenation Complication|Acute Respiratory Distress Syndrome|,Helsinki University Hospital,Helsinki,Non-Probability Sample,Recruiting
NCT04403672,High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit|,"Institute of Epidemiology, Disease Control and Research (IEDCR), Mohakhali, Dhaka (For sample collection & sample storage), Institute for Developing Science & Health Initiatives (ideSHi); Mohakhali, Dhaka (For sample analysis, data collection, data analys",Dhaka,Probability Sample,Recruiting
NCT04433000,Covid-19 Pneumonia|,Azienda Ospedaliera Universitaria Senese,Siena,Non-Probability Sample,Recruiting
NCT04261270,2019-nCoV Pneumonia|,Department and Institute of Infectious Disease,Wuhan,NA,Recruiting
NCT04355897,COVID 19|,The Christ Hospital,Cincinnati,NA,Recruiting
NCT04328129,Coronavirus Infections|Severe Acute Respiratory Syndrome|SARS-CoV Infection|,Centre Hospitalier Andrée Rosemon,Cayenne,NA,Recruiting
NCT04324866,Coronavirus Infection|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04572438,Tracheostomy Complication|Covid19|Ventilator Lung|,University College London NHS Foundation Trust,London,Non-Probability Sample,Recruiting
NCT04344002,Covid-19|Lung Cancer|,Complejo Hospitalario Universitario de Ferrol,Ferrol,Non-Probability Sample,Recruiting
NCT04526912,Acute Lung Injury|,Research Site,Cleveland,NA,Recruiting
NCT04425317,Infertility|COVID|IVF|,Uz Brussels,Brussels,NA,Recruiting
NCT04347954,COVID-19|,Stanford Health Care,Stanford,NA,Recruiting
NCT04337788,Coronavirus Infection|,NA,NA,NA,Not yet recruiting
NCT04382469,COVID|,"Faculty of Medicine, University of Alexandria",Alexandria,Probability Sample,Completed
